test,count,RTF,CPU,CPU_TEMP,GPU,GPU_TEMP,RAM_USED,VRAM_USED
multi-robot,5,0.9995424580000001,"[0.9, 0.0, 0.9, 0.9, 55.9, 17.5, 67.7, 11.1, 0.9, 1.8, 1.8, 23.3, 12.8, 25.0, 11.6, 12.7]",58.625,90,57,2557898752,737
multi-robot,5,0.9986514510000001,"[0.9, 1.8, 2.8, 2.8, 29.4, 38.9, 29.2, 2.8, 1.9, 2.7, 24.1, 5.6, 14.7, 43.1, 20.7, 9.2]",57.0,96,58,2558537728,737
multi-robot,5,0.9997182250000001,"[6.6, 0.9, 11.9, 10.3, 1.2, 1.9, 2.8, 16.3, 45.4, 1.9, 4.6, 14.2, 1.9, 35.5, 18.5, 24.2]",55.25,96,59,2558664704,737
multi-robot,5,0.999362293,"[94.5, 1.9, 24.8, 10.9, 26.6, 5.5, 0.9, 7.9, 5.6, 0.9, 1.9, 2.8, 1.9, 1.8, 0.9, 2.8]",53.625,100,59,2558586880,737
multi-robot,5,0.9990336280000001,"[1.8, 16.5, 29.6, 100.0, 19.1, 0.9, 0.0, 7.0, 0.9, 0.9, 2.8, 0.9, 17.1, 0.9, 1.9, 3.5]",52.0,100,59,2557906944,737
multi-robot,5,0.998439029,"[5.6, 1.9, 16.5, 64.5, 13.0, 2.0, 16.2, 4.0, 2.8, 1.9, 5.6, 36.1, 11.0, 1.1, 4.6, 2.9]",51.0,100,60,2558767104,737
multi-robot,5,0.9997989310000001,"[0.0, 0.9, 15.6, 0.9, 1.9, 10.2, 22.6, 0.0, 0.0, 0.0, 4.6, 100.0, 4.6, 20.2, 55.7, 10.9]",50.5,100,60,2558169088,737
multi-robot,5,0.999331783,"[2.8, 1.9, 14.8, 1.8, 2.0, 10.9, 11.4, 5.5, 2.8, 2.8, 5.6, 100.0, 1.8, 2.7, 45.8, 24.3]",58.5,100,61,2557296640,737
multi-robot,5,0.997833187,"[4.5, 1.9, 18.2, 1.9, 23.1, 7.3, 1.8, 8.3, 2.8, 1.8, 20.2, 100.0, 42.7, 3.7, 0.9, 15.7]",56.75,100,61,2558799872,737
multi-robot,5,0.9996905070000001,"[1.9, 9.3, 18.5, 83.3, 66.9, 0.0, 1.9, 0.9, 4.7, 18.5, 0.9, 16.8, 0.9, 1.9, 1.9, 1.9]",55.25,100,61,2559131648,737
multi-robot,5,0.9990257770000001,"[1.9, 2.8, 2.8, 100.0, 29.5, 24.1, 39.6, 0.9, 1.9, 14.3, 3.7, 0.9, 5.5, 3.8, 1.9, 0.0]",53.5,100,62,2558992384,737
multi-robot,5,1.000182655,"[1.9, 13.9, 0.0, 82.6, 17.9, 3.7, 4.7, 13.3, 1.9, 15.2, 1.0, 2.9, 21.9, 23.6, 11.5, 27.7]",52.0,100,62,2559197184,737
multi-robot,5,0.998225891,"[11.4, 3.8, 25.7, 10.2, 100.0, 2.8, 2.7, 0.9, 2.8, 20.7, 12.6, 8.3, 4.5, 5.4, 5.5, 27.3]",51.25,100,63,2559451136,737
multi-robot,5,0.999023776,"[12.0, 6.5, 1.8, 35.8, 100.0, 17.3, 2.8, 1.8, 5.4, 1.8, 21.9, 28.6, 1.8, 5.6, 1.8, 2.8]",50.5,100,63,2560135168,737
multi-robot,5,0.9963744630000001,"[6.6, 5.6, 24.6, 29.3, 99.1, 1.9, 1.9, 0.9, 7.1, 5.5, 1.9, 7.4, 1.9, 1.8, 1.9, 2.8]",50.5,100,63,2558918656,737
multi-robot,5,0.9995214910000001,"[9.2, 1.9, 23.8, 36.0, 100.0, 0.0, 0.0, 1.9, 2.9, 0.9, 4.9, 8.7, 1.9, 0.0, 0.9, 0.9]",50.5,100,64,2559418368,737
multi-robot,6,0.999480895,"[2.8, 3.6, 0.0, 86.2, 15.6, 30.0, 30.8, 8.3, 2.8, 2.8, 1.9, 0.9, 13.1, 26.2, 7.5, 24.1]",49.5,100,56,2685059072,658
multi-robot,6,0.999634647,"[7.3, 8.3, 20.2, 1.9, 1.9, 5.7, 10.8, 16.4, 2.8, 1.9, 8.1, 3.7, 3.7, 10.4, 14.7, 100.0]",50.375,100,57,2684899328,658
multi-robot,6,0.9996905570000001,"[3.6, 26.4, 5.5, 0.9, 1.8, 1.8, 66.4, 1.8, 0.9, 0.9, 3.7, 1.9, 3.6, 0.9, 18.5, 100.0]",50.375,100,57,2685775872,658
multi-robot,6,0.9995820630000001,"[8.4, 5.0, 26.4, 5.0, 1.9, 15.1, 6.5, 2.5, 3.5, 4.6, 9.0, 1.7, 2.5, 3.4, 6.7, 100.0]",50.375,100,58,2684649472,658
multi-robot,6,0.9994168130000001,"[14.9, 1.9, 63.7, 21.7, 1.9, 8.3, 1.9, 12.8, 2.8, 3.7, 4.6, 6.5, 0.9, 1.9, 0.9, 100.0]",50.375,100,58,2684497920,658
multi-robot,6,0.9996637250000001,"[5.4, 8.1, 5.4, 7.1, 1.8, 3.6, 2.7, 6.4, 1.8, 5.4, 6.8, 26.4, 15.3, 3.7, 5.5, 100.0]",60.75,100,59,2682396672,658
multi-robot,6,0.999891147,"[4.6, 28.4, 9.0, 6.4, 7.2, 6.4, 2.8, 2.7, 3.7, 15.9, 10.4, 6.3, 0.9, 12.8, 32.1, 100.0]",59.125,100,59,2681843712,658
